policy_state,policy_deductible,policy_annual_premium,insured_age,insured_sex,insured_education_level,insured_occupation,insured_hobbies,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,police_report_available,claim_amount,total_claim_amount,fraud_reported,incident_year,incident_month,incident_day
6,500,690.73,44,2,2,5,1,2,0,2,0,6,6737,9,2,2,0,1,16077.18,17483.05,1,2025,1,14
8,1000,679.34,72,2,2,6,1,3,0,1,3,0,9379,9,2,1,4,1,13547.72,19323.19,0,2025,10,15
7,400,1183.26,31,2,1,0,2,2,2,1,2,7,2477,3,1,2,3,1,5641.83,5865.87,0,2025,2,19
1,600,1309.96,22,2,1,6,3,1,1,1,0,4,6747,2,3,2,0,1,20571.41,24615.06,0,2023,12,25
1,700,615.83,58,0,1,2,1,1,3,1,2,6,12685,21,3,2,5,1,16101.64,18133.76,0,2024,4,13
2,800,634.0,75,2,1,2,4,0,1,0,1,2,2430,6,2,3,4,0,3100.65,2587.12,0,2025,1,27
2,400,1260.39,66,0,1,3,3,0,0,0,1,6,4834,19,4,0,2,1,22920.05,20770.55,0,2025,6,17
4,600,1434.52,30,1,2,7,1,2,1,1,3,4,8317,21,2,3,0,1,15335.46,23303.11,0,2025,1,8
9,700,1329.06,35,0,3,4,6,0,3,2,1,7,9657,12,1,2,5,0,5739.56,7526.2,0,2024,3,14
1,400,1009.01,54,2,0,4,1,0,2,0,1,7,2664,3,1,3,4,0,24354.16,22114.92,0,2024,2,5
0,1000,850.73,44,0,2,7,5,1,2,0,2,1,4672,21,2,0,1,0,5186.48,9399.79,0,2024,9,4
9,400,995.78,71,0,3,5,5,1,1,2,0,1,17839,3,4,1,3,1,6551.67,10704.78,0,2024,1,2
6,400,954.04,40,0,3,3,2,2,0,0,0,4,1843,22,4,0,5,0,5236.78,5117.5,0,2025,5,12
7,800,1232.61,61,0,0,2,0,0,2,0,3,7,17204,8,1,4,5,1,23184.66,24000.58,0,2025,8,23
6,1000,793.87,37,2,2,1,1,2,0,0,1,2,5635,3,4,3,2,0,5597.16,6281.51,0,2025,7,28
1,800,823.16,34,1,3,3,6,1,1,2,3,6,15266,11,4,1,4,1,13544.54,14355.74,1,2024,3,14
4,500,862.32,74,1,1,4,2,3,0,0,1,1,7129,0,2,3,4,1,8855.64,7812.37,0,2025,8,21
7,700,1257.48,36,1,1,3,0,0,2,1,3,9,309,12,1,2,0,1,15210.9,20897.64,0,2024,3,9
1,300,791.67,69,1,2,3,6,2,0,1,1,1,6485,12,1,1,5,0,17258.92,16402.53,0,2024,10,29
4,600,1277.59,48,1,2,6,3,1,0,2,2,4,748,17,1,4,3,0,12201.78,10944.6,0,2024,12,14
8,1000,1467.71,56,2,1,2,2,3,1,0,2,5,7112,17,1,0,0,0,8353.3,9603.27,0,2025,9,29
7,500,1359.89,19,1,3,0,2,2,2,0,2,5,14792,22,3,0,1,0,15483.38,24744.74,0,2025,6,10
2,200,936.15,65,1,2,5,5,3,0,2,0,6,11571,9,4,3,4,0,13185.25,16823.59,0,2024,8,6
7,200,714.43,28,0,3,6,2,3,1,0,2,0,15692,8,3,1,1,0,19649.1,21365.58,1,2024,1,28
0,600,1114.46,25,0,1,7,0,2,1,1,3,7,14364,15,3,1,0,0,11112.34,21550.0,0,2024,1,13
3,700,638.59,55,2,1,4,6,0,2,0,0,6,3609,13,4,0,5,1,12656.03,17523.64,0,2024,2,4
8,500,1358.89,44,1,2,3,3,2,0,0,1,5,7261,5,1,0,2,0,20161.98,23395.88,0,2023,12,31
3,400,818.03,53,1,3,6,5,2,0,2,1,4,9296,10,2,0,1,1,8989.77,8690.59,0,2025,7,8
1,400,762.92,32,2,0,2,3,0,0,0,1,4,8217,18,4,2,4,0,4865.79,5200.56,0,2025,2,16
1,200,877.19,48,1,0,3,0,2,1,2,3,7,4283,13,2,3,0,0,23708.52,21684.59,1,2025,9,12
0,700,1207.76,73,0,0,0,1,0,2,1,2,9,1494,9,2,1,3,0,11107.46,21397.56,0,2024,1,18
9,500,998.5,29,2,3,5,6,1,0,2,3,3,5558,8,4,4,0,0,4515.23,4649.8,1,2025,6,16
0,600,853.47,52,2,2,1,3,3,3,2,3,7,1500,16,2,4,1,1,6696.12,6414.39,0,2025,6,5
8,500,689.07,39,0,2,1,6,3,2,2,2,5,10196,5,3,3,5,1,15751.72,24439.69,0,2025,1,9
0,400,1124.21,28,0,1,3,2,1,0,1,1,8,368,7,1,3,4,1,18668.58,19442.13,0,2024,8,19
8,400,644.74,62,2,3,0,2,2,2,2,3,3,10438,5,3,2,1,0,2109.06,3101.15,0,2024,9,14
8,700,953.39,72,1,0,7,4,1,3,2,3,8,2367,2,4,0,4,0,9759.26,14620.18,1,2024,12,16
9,600,904.57,50,0,2,4,6,2,1,0,3,3,15891,21,1,3,3,0,25656.21,23385.74,0,2025,1,4
7,500,1235.52,20,2,3,1,6,0,1,2,1,3,5595,4,4,0,5,0,17343.43,20425.42,0,2024,3,13
7,700,1493.08,40,2,2,1,2,3,0,0,1,3,11059,8,1,1,0,1,17623.84,19998.64,0,2024,4,25
2,300,1470.1,40,1,3,0,0,0,3,1,3,3,17619,5,4,4,5,0,9559.17,14900.54,0,2025,2,12
1,300,642.54,71,1,1,2,2,1,0,0,3,0,2916,0,4,0,5,0,573.01,574.78,1,2025,5,26
4,800,1141.88,54,2,0,4,4,2,0,1,0,8,16667,11,1,1,5,1,13947.11,22359.84,0,2024,11,8
6,800,695.66,59,1,0,4,0,1,0,2,2,7,7195,22,4,3,0,0,5791.35,6758.86,0,2025,1,17
6,1000,858.7,21,2,3,6,4,2,3,0,0,2,12601,12,4,0,4,0,8493.67,14299.84,0,2024,6,17
3,700,643.29,21,2,3,7,0,1,3,1,1,1,16453,6,4,2,3,1,3644.79,6352.93,0,2025,10,15
3,1000,1232.81,32,2,2,6,1,2,1,1,3,2,8428,21,2,3,1,0,18345.28,15557.68,0,2024,7,11
9,1000,870.57,45,0,0,7,4,2,1,0,3,8,13804,11,1,3,5,1,26057.56,24211.89,0,2024,6,3
5,600,1230.91,43,2,1,1,4,1,0,2,1,5,4290,18,2,4,4,0,6775.18,7030.24,0,2024,5,9
3,1000,1107.49,50,0,1,5,6,0,1,1,2,4,16807,20,1,4,2,1,1055.48,889.5,0,2024,2,22
5,800,964.67,57,2,2,7,4,0,2,1,1,5,11424,3,1,4,4,0,9308.13,8200.33,0,2024,8,13
8,300,1329.02,33,2,2,6,1,0,2,1,2,9,2881,20,4,1,2,1,11824.96,21875.96,0,2024,6,25
0,800,967.36,56,1,1,3,6,2,1,1,0,6,17580,3,3,0,5,1,11190.32,16483.76,0,2023,12,3
9,400,1204.67,33,1,2,3,3,1,0,1,2,0,45,2,4,3,5,0,2638.17,4743.52,0,2025,6,24
2,300,1366.97,72,2,2,2,2,2,1,2,0,0,2667,12,1,0,5,1,6417.5,7399.03,0,2024,9,2
2,600,1251.25,20,2,0,1,5,0,3,2,0,9,16558,17,1,0,3,1,10979.26,10995.14,1,2024,11,4
7,300,816.28,60,1,1,1,1,2,1,0,0,2,17474,6,1,3,5,1,2628.79,3631.15,0,2024,1,6
6,1000,647.78,56,1,2,7,5,0,2,0,3,2,1107,7,2,1,5,0,7304.63,11871.59,0,2025,5,15
2,400,1333.65,21,2,2,3,0,2,2,0,3,6,4731,22,4,4,2,1,7442.76,14800.49,0,2024,1,22
7,600,995.05,44,2,3,3,2,2,0,1,2,4,7255,17,3,2,0,1,3335.46,4192.63,1,2025,1,19
6,700,690.43,71,0,0,6,2,1,1,0,1,2,10444,2,3,2,3,1,18554.13,17309.76,0,2024,5,14
8,300,954.36,66,0,2,3,2,1,3,0,0,9,1392,14,3,0,5,1,3743.77,3839.32,0,2025,10,15
4,300,914.66,42,1,3,2,1,3,0,0,1,0,5528,17,4,0,0,0,10450.1,14121.89,0,2025,7,20
2,200,872.39,56,2,0,3,3,0,2,2,0,2,984,15,3,2,3,0,10393.83,13952.76,0,2024,10,11
0,200,830.51,45,1,0,7,0,3,1,2,0,8,1723,21,2,4,4,1,17239.85,20730.85,0,2024,3,30
1,200,1082.13,46,1,2,7,2,1,3,0,1,6,276,16,2,0,1,1,16026.19,13981.66,0,2025,5,11
3,200,1003.22,58,0,3,3,6,1,0,0,0,4,17903,20,1,0,4,1,16436.13,15290.2,0,2025,10,20
6,800,1143.74,56,1,0,3,0,2,1,1,2,7,2195,22,1,0,2,0,16696.17,17634.53,0,2025,4,9
9,800,707.92,50,2,1,1,3,0,3,0,2,6,7445,10,4,2,2,0,6814.39,6264.61,0,2025,9,16
2,200,1474.6,45,0,3,4,1,3,1,2,3,2,7,2,1,4,2,1,9744.55,17936.77,0,2024,7,13
9,200,1019.61,37,2,2,7,6,3,3,2,1,5,2147,3,3,0,0,0,911.17,924.05,1,2025,2,25
2,400,1254.35,45,1,1,0,2,2,0,2,0,5,3379,8,3,3,0,0,10980.57,13469.03,1,2024,5,19
9,500,637.53,73,2,1,2,5,3,3,2,1,4,10997,2,1,1,3,1,1494.2,2441.68,0,2025,4,7
0,300,1486.3,19,1,1,6,3,2,0,2,3,7,1551,9,2,0,5,1,11755.97,9952.32,1,2025,7,1
8,500,848.14,23,0,3,6,4,1,1,0,1,0,13966,2,2,0,0,1,11876.35,20050.19,0,2024,7,20
9,400,1291.21,18,1,3,5,6,3,2,1,1,6,13587,9,1,4,4,1,28031.9,23532.72,0,2025,10,19
4,600,1498.39,35,1,2,0,4,2,1,1,2,3,10925,8,3,1,0,0,7285.46,10207.43,0,2025,7,20
8,800,965.68,28,0,0,1,5,3,0,0,1,4,11508,2,3,3,1,0,10984.27,10969.09,0,2025,9,23
9,800,1434.82,65,0,2,4,3,3,0,2,1,4,12443,14,1,3,4,1,15117.66,16987.5,1,2025,11,1
0,600,1486.19,38,0,0,5,3,2,3,2,1,2,6556,13,2,0,4,0,17817.09,14992.14,1,2025,2,8
2,400,1110.0,34,1,1,3,0,3,2,0,1,9,4114,22,4,1,0,0,12482.68,20660.1,1,2024,7,5
6,200,1216.94,25,0,1,4,2,1,1,1,1,2,4737,17,3,1,2,1,14865.83,16190.38,0,2025,1,15
8,600,1165.3,59,2,1,6,1,2,2,0,0,8,14608,1,1,0,0,1,16019.76,15632.73,0,2025,10,12
5,1000,875.46,50,0,0,5,4,2,0,1,1,8,10676,17,2,4,4,1,14582.5,16941.74,0,2024,7,5
0,400,652.56,57,2,0,4,3,3,1,2,3,8,13728,2,4,2,0,0,22889.37,21824.58,1,2024,12,17
9,800,959.61,54,0,3,7,1,2,0,0,1,7,13031,13,2,4,4,0,5879.66,6993.8,0,2024,12,6
9,700,1027.35,28,1,1,7,5,1,0,0,1,3,5215,23,1,2,4,1,7353.76,7150.81,0,2024,6,16
3,700,847.82,44,1,1,7,0,1,2,1,3,9,7092,5,1,3,3,1,21042.47,21521.31,1,2024,9,24
6,500,1064.33,22,1,2,4,6,2,0,1,1,6,7766,3,4,4,2,1,7264.16,7176.75,0,2024,8,30
8,1000,1298.7,60,1,3,6,4,1,3,1,0,5,2872,21,4,0,0,0,8526.2,13122.44,0,2025,10,11
7,400,1291.64,61,2,3,3,5,0,2,1,2,2,6735,8,4,2,5,1,5555.9,9048.76,0,2025,10,25
3,700,1008.87,37,1,0,1,6,0,0,1,3,1,14076,16,3,2,2,1,4082.59,7397.25,0,2025,7,23
6,700,1370.98,24,1,2,6,6,1,0,1,2,3,8987,13,1,2,0,1,1273.74,1461.84,0,2024,12,15
0,700,827.51,37,0,3,4,4,1,3,1,3,6,12133,4,2,3,2,0,3564.95,3922.89,1,2025,7,7
0,600,873.35,54,2,0,1,5,1,2,0,0,4,12338,0,3,3,2,0,7576.92,14597.43,0,2025,6,21
8,500,721.33,25,1,0,4,6,0,2,2,2,6,11802,3,4,4,4,1,5419.62,7198.84,0,2025,10,18
6,500,673.29,67,2,2,5,2,0,0,1,2,6,1259,14,4,4,5,1,24361.3,21589.92,0,2024,1,10
3,300,1192.16,40,1,1,2,3,1,1,1,3,1,4469,21,4,0,1,1,20319.37,21585.85,1,2023,11,10
6,500,1302.64,68,2,0,3,1,0,1,1,2,9,13496,14,4,4,4,0,7241.34,10174.43,0,2024,1,29
5,500,786.94,35,0,1,6,5,0,0,2,3,4,6348,11,4,4,4,0,17306.55,15879.71,0,2025,4,21
1,200,759.34,56,1,2,7,0,1,1,1,0,5,709,23,2,4,5,0,20751.81,17887.87,1,2024,1,22
0,1000,1070.74,46,2,2,0,6,0,1,2,2,6,4978,14,3,3,2,0,2002.32,2917.15,0,2025,8,3
4,800,1073.58,56,2,1,7,2,1,0,2,0,2,1280,1,4,1,2,1,12644.97,12538.19,0,2025,10,4
5,600,1223.4,41,2,0,6,6,0,3,1,0,4,843,18,3,3,4,0,2382.54,4499.82,0,2025,1,24
8,200,1489.33,23,1,1,5,0,2,0,2,0,6,4570,3,4,2,4,1,6063.85,5851.18,1,2024,8,22
7,500,669.42,56,2,1,3,4,1,0,1,2,2,10288,1,2,2,1,1,11005.26,10613.56,0,2025,10,20
1,500,1002.81,58,2,2,7,2,0,1,0,0,8,10168,19,3,1,1,1,14698.9,17555.28,0,2025,1,24
0,700,798.81,65,0,2,4,5,1,1,0,2,7,7097,4,1,1,5,0,21853.07,20598.21,0,2024,5,23
8,600,1325.84,46,1,0,2,1,3,0,0,0,8,147,1,3,4,5,1,18054.46,23713.2,0,2024,11,1
7,400,605.46,37,1,2,3,1,0,1,2,0,8,7877,18,1,3,4,1,1563.24,1310.34,0,2025,7,26
5,500,1238.7,34,1,3,4,1,1,0,0,1,5,1983,23,4,3,1,1,1217.75,1563.22,0,2025,1,11
1,700,1078.96,32,0,1,1,6,0,3,1,2,0,5941,8,4,0,2,1,5627.0,8284.47,0,2025,5,14
1,300,690.49,67,2,0,3,3,0,1,1,3,9,9681,1,2,0,1,0,3773.47,4954.57,0,2024,7,18
5,800,663.53,39,2,1,5,2,2,1,2,0,3,750,0,3,0,1,0,2689.81,4619.55,0,2024,1,13
9,700,659.65,49,0,2,1,3,2,1,2,0,2,1686,13,3,0,0,0,15452.64,23613.87,0,2024,2,1
3,300,1029.02,71,0,1,6,3,3,0,0,1,5,6444,2,4,3,0,0,11648.66,15758.55,0,2024,5,26
9,1000,1319.84,20,2,3,5,4,3,1,1,0,9,11250,0,4,0,5,0,16914.37,24595.55,0,2025,2,25
0,300,1017.21,27,2,3,7,2,2,3,0,0,1,16138,9,1,1,0,1,20077.7,21700.93,0,2024,8,23
9,300,669.92,21,0,2,7,2,3,2,1,1,2,1936,21,2,1,4,1,10790.89,16591.36,0,2024,6,9
6,200,955.74,22,2,0,3,4,2,3,0,1,1,4434,0,2,0,1,0,1576.69,1995.86,0,2025,7,24
1,800,930.9,74,0,1,3,4,1,1,0,3,6,9451,9,3,0,4,1,11851.78,14482.02,0,2025,1,16
2,500,749.34,52,1,3,3,2,0,3,2,2,8,6356,0,2,3,4,1,12566.46,15823.87,0,2025,10,14
1,600,1170.09,27,1,0,2,3,2,3,2,3,2,15554,3,1,1,3,0,8978.61,17922.55,0,2024,9,9
4,400,1241.15,62,1,0,1,2,1,0,2,1,0,8677,7,1,0,4,1,14288.8,20338.2,0,2024,9,18
8,500,1444.87,47,1,1,1,6,2,1,0,3,9,11890,2,4,4,0,1,18018.53,23191.42,0,2024,4,10
4,800,713.3,36,2,2,6,6,1,1,1,0,7,580,18,3,2,1,1,8032.13,16030.57,0,2024,7,12
9,600,626.48,60,2,1,1,6,2,1,0,1,7,9490,21,2,4,4,0,8450.29,9588.31,1,2024,8,21
6,1000,751.09,73,1,3,6,4,1,1,1,1,9,8250,5,2,1,4,1,9118.12,9865.8,0,2024,9,10
2,300,759.12,48,1,1,4,2,0,2,0,0,2,4224,6,1,1,5,1,1194.78,2050.82,0,2024,6,15
7,200,1200.45,51,1,2,3,2,1,1,0,0,9,15243,19,4,0,3,0,1022.3,923.0,0,2025,4,25
2,500,1339.73,44,0,1,6,3,2,2,2,2,2,15777,7,3,0,0,0,11765.99,16823.76,1,2024,3,23
9,700,1372.07,64,2,1,2,3,2,3,1,3,5,9281,13,4,1,5,1,22274.15,19095.9,0,2025,4,4
1,1000,877.45,41,0,2,3,3,0,2,2,0,1,462,17,3,2,4,1,12106.17,15083.84,0,2025,1,22
5,700,1453.87,20,1,3,5,1,2,1,0,2,6,9786,16,4,0,2,1,20350.04,20280.6,1,2024,3,23
7,500,1201.79,40,0,3,3,6,1,0,1,0,2,8178,12,4,2,5,0,6380.47,11084.5,0,2025,1,9
9,500,827.12,21,2,1,3,5,2,0,2,2,8,4028,21,2,4,5,0,17817.81,19882.64,0,2024,3,20
6,800,1004.22,73,1,1,7,2,2,3,2,2,9,4794,0,2,3,0,0,16440.42,13933.13,1,2025,2,7
8,400,852.86,30,0,1,7,2,1,1,2,1,6,10139,22,2,3,3,0,17282.68,19318.28,0,2025,8,24
2,800,731.41,65,0,2,1,0,3,3,0,0,7,2883,3,3,4,5,1,11639.4,20368.76,0,2024,6,13
5,600,1327.8,35,1,3,0,3,0,2,1,3,0,820,11,3,0,2,1,20783.0,22868.68,0,2025,8,8
3,1000,1030.38,31,2,1,3,3,3,3,0,2,1,11524,16,2,0,3,1,10958.35,11612.89,0,2025,2,11
6,600,1238.29,34,2,1,2,5,0,2,1,0,8,1689,15,3,0,2,1,11321.93,15088.44,0,2025,8,12
5,300,1234.78,28,0,0,4,5,0,0,1,3,3,11963,18,3,3,3,0,14567.65,19262.09,0,2025,9,1
9,500,1018.36,37,1,0,0,3,1,1,2,1,1,14367,2,2,2,2,0,13785.09,23901.46,0,2024,12,31
8,700,1070.99,36,1,0,7,3,1,3,1,0,3,6564,8,3,3,3,1,13947.47,14054.41,0,2025,3,4
2,500,671.0,68,0,1,4,0,1,3,0,1,3,5475,7,3,3,0,1,22343.46,19399.12,0,2024,9,29
3,500,1032.1,20,0,2,4,2,0,2,0,1,6,14750,18,1,2,3,1,4562.65,4848.87,0,2024,6,22
1,500,687.06,29,1,2,2,2,0,2,0,0,4,15625,10,4,4,3,1,1508.31,1564.47,0,2024,4,26
9,400,672.53,19,2,1,0,4,0,2,2,3,5,6167,1,1,2,1,1,7287.09,7209.28,1,2025,7,18
1,600,626.88,20,1,0,4,3,3,2,1,1,7,16367,14,1,2,2,0,9817.96,14367.92,0,2025,6,2
7,300,1243.02,55,0,2,5,4,0,1,1,0,3,2719,10,1,1,3,0,5268.98,4910.64,0,2025,3,24
4,800,1363.8,35,1,0,3,3,3,0,2,2,2,14346,11,1,0,0,1,17398.11,18767.89,1,2025,10,11
4,500,751.22,27,2,3,0,1,0,2,1,1,9,12431,23,3,0,2,0,22243.21,20825.82,0,2024,10,25
9,500,1277.73,39,2,2,3,0,2,1,0,1,7,5988,14,1,3,4,0,15645.98,15500.79,0,2024,4,12
3,500,911.86,52,1,2,2,2,1,3,1,1,1,10184,14,4,0,0,0,27384.57,24784.2,0,2025,4,16
9,400,1273.27,34,1,0,7,3,2,2,2,2,3,7879,20,4,0,4,1,6972.01,10115.34,0,2024,1,2
1,600,1161.76,45,0,1,1,2,0,1,0,0,4,15272,22,4,4,2,1,15658.59,13914.98,0,2025,6,13
9,700,781.44,20,2,1,1,4,3,2,2,2,3,8890,23,1,2,5,0,23322.69,22013.0,0,2023,12,30
6,700,750.25,45,1,1,2,5,0,1,1,0,5,4213,7,2,4,2,0,8306.96,12349.58,0,2024,12,22
2,400,876.38,30,1,0,3,4,0,3,2,2,6,2321,11,4,2,4,0,20644.92,21579.52,0,2024,11,6
5,1000,775.84,74,2,1,0,1,1,2,1,2,7,7060,10,3,3,4,0,10899.5,10644.05,0,2024,11,20
1,500,1059.0,41,0,2,2,2,3,2,1,2,0,357,4,4,1,3,1,11910.46,22808.13,0,2023,11,15
5,600,913.05,26,1,2,0,0,1,1,1,2,7,9372,20,1,1,0,0,6310.71,5292.3,0,2024,2,13
6,700,1115.91,62,1,1,3,6,1,1,0,3,5,13437,17,4,3,4,0,7149.66,12481.43,0,2025,1,13
0,500,1475.13,28,2,1,6,4,3,3,1,2,1,16110,22,2,1,3,0,17444.79,24840.08,1,2024,4,26
6,200,786.55,57,0,0,0,1,2,1,0,1,3,12413,20,1,4,5,1,15956.5,14463.91,0,2024,10,24
5,700,901.43,58,1,3,1,4,2,3,1,1,3,7049,12,4,1,3,0,10828.71,11290.38,0,2024,1,31
6,300,1184.82,72,1,1,0,3,1,0,2,0,0,13678,9,4,4,4,1,10811.29,10699.05,0,2024,5,3
8,300,1019.39,39,0,1,3,6,1,1,2,1,1,16048,19,4,0,5,0,377.41,638.05,0,2024,6,17
1,400,1411.8,73,1,2,0,1,2,2,0,3,7,14281,11,2,3,0,1,14796.93,17930.13,0,2025,3,23
5,500,611.67,47,2,0,4,0,0,2,2,1,0,12356,4,3,0,0,1,6564.15,11463.36,1,2024,2,27
3,200,737.89,38,0,0,4,1,3,1,1,2,3,5520,7,4,0,1,1,7866.35,8168.18,1,2024,12,11
6,200,902.03,58,0,2,1,3,2,3,2,0,5,13689,12,1,0,3,0,7257.12,12913.65,0,2025,8,26
5,500,1095.65,71,1,3,2,6,3,1,1,0,3,7583,22,4,0,4,0,6215.18,8194.43,0,2025,5,5
9,500,1304.39,46,1,2,1,5,2,2,2,3,0,6254,16,1,4,1,1,18410.84,15862.46,0,2024,5,3
0,800,1284.29,52,1,0,2,6,2,1,2,2,6,8153,7,1,4,4,0,11929.51,14400.71,1,2025,3,19
2,600,1342.89,32,2,2,2,4,3,0,2,3,0,5338,14,1,1,3,1,11343.44,15826.56,0,2024,9,29
2,400,983.9,71,2,1,4,0,0,1,1,1,6,12177,8,2,1,1,0,12618.8,14408.23,0,2024,12,21
6,400,953.93,51,2,2,5,3,1,3,0,1,0,6635,1,2,0,1,1,10621.62,9269.18,0,2024,7,18
0,400,1392.42,70,1,1,1,6,1,1,2,3,9,11828,0,3,0,5,1,12753.7,21925.77,0,2025,5,28
0,700,1403.69,71,2,0,4,1,1,1,1,2,0,9431,16,2,4,0,1,27083.52,22724.48,0,2024,12,9
4,1000,1246.25,35,1,2,7,2,1,1,0,3,1,10864,18,3,1,2,1,10913.61,9101.55,0,2025,5,14
3,1000,1133.67,71,0,0,3,4,1,0,0,1,7,17431,23,4,1,1,0,1670.21,1583.98,0,2024,11,2
4,800,1424.91,61,0,2,7,2,1,0,0,0,2,13281,9,1,1,2,0,12831.54,11691.89,0,2024,9,6
2,300,1209.99,26,0,0,7,3,1,1,1,0,8,2657,3,4,1,3,0,15790.64,18862.33,0,2024,10,23
9,200,1017.1,40,2,2,1,5,3,0,0,1,1,16156,8,4,1,2,0,1894.33,2546.13,0,2025,9,11
7,400,1009.31,35,0,1,6,6,1,3,2,1,3,15731,22,2,1,1,0,12126.07,10995.1,0,2025,8,27
9,600,1155.89,43,0,0,3,5,3,1,2,2,9,3731,17,4,3,1,1,9965.09,12370.92,0,2024,10,1
6,600,993.74,25,2,0,4,5,1,2,1,2,1,17867,7,2,3,2,1,14438.04,23930.67,0,2024,9,25
3,500,882.28,32,0,3,6,6,2,2,1,1,1,8880,20,3,2,5,0,10939.64,11551.84,0,2023,11,16
4,800,1381.72,74,2,1,5,5,1,1,2,0,8,1461,7,1,2,5,0,18862.96,17275.04,0,2025,1,2
2,200,1342.33,18,0,3,3,6,0,3,1,1,0,6383,22,2,4,2,1,15517.74,24845.35,0,2024,7,15
2,200,1247.7,54,2,2,0,4,3,0,2,1,7,5760,19,4,2,4,1,27772.55,24836.4,0,2025,1,15
8,1000,718.33,31,0,3,2,6,2,0,2,3,1,11129,9,2,0,4,0,3409.62,5911.7,0,2025,5,23
9,700,1350.67,18,1,3,4,0,2,0,1,3,2,8647,19,2,3,1,1,15521.69,19319.23,0,2025,10,17
0,700,1320.85,44,0,1,1,6,3,3,2,0,1,9429,10,2,1,2,1,11691.33,14639.93,0,2025,8,29
